final_t_O1,final_t_O2,final_t_O3,final_dt_O2_O1,final_dt_O3_O1,final_dt_O3_O2,num_horizon_O2_O1,num_horizon_O3_O1,num_horizon_O3_O2,runtime_sec,ax,bx,run_index
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04181718826293945,44.00653217849211,25.811001129039425,1
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04075813293457031,49.37412324668684,3.571229976865831,2
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04059004783630371,34.0944263526986,12.225601207035155,3
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04336690902709961,58.60844005381848,21.94980402244721,4
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.03986239433288574,64.53462896192147,3.6158155413773616,5
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04081368446350098,39.57980227506738,15.015862063435765,6
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04126381874084473,62.803299830845695,20.22558539024321,7
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.040966033935546875,59.93836375037146,13.04667392858044,8
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04349684715270996,13.63734188559214,39.191711019994386,9
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.041756629943847656,28.223829179414256,27.976593268030204,10
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.041268348693847656,42.557799319486165,38.08381288981688,11
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04149270057678223,15.399118380268735,9.617224211236476,12
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04243922233581543,45.73785303785075,20.178762870354117,13
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04130244255065918,22.39136139245599,2.7776273792140542,14
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.0408320426940918,22.8557349720756,30.568010161841002,15
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04053640365600586,39.22556727858668,31.512444090636,16
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04192495346069336,5.522278716621372,7.925115860294739,17
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.043857574462890625,72.6080786482269,7.9034340563961125,18
74.09855207722111,12674.443519455548,40071.8975709454,12600.344967378327,39997.79901886818,27397.454051489854,4,4,4,0.04640364646911621,18.38973532691295,3.6154275705277437,19
