final_t_O1,final_t_O2,final_t_O3,final_dt_O2_O1,final_dt_O3_O1,final_dt_O3_O2,num_horizon_O2_O1,num_horizon_O3_O1,num_horizon_O3_O2,runtime_sec,noise_level,run_index
74.10743628078703,12674.443442079242,40071.89811648424,12600.336005798456,39997.790680203456,27397.454674405,4,4,4,0.04979133605957031,0.05841557307310002,1
74.10746146193114,12674.443593116237,40071.89790858299,12600.336131654305,39997.790447121064,27397.454315466755,4,4,4,0.04975080490112305,0.09302512706744673,2
74.09807983281284,12674.44353586034,40071.89754116979,12600.345456027528,39997.799461336974,27397.45400530945,4,4,4,0.047226667404174805,0.0031683504860152037,3
74.0979580571926,12674.44343752982,40071.89753823645,12600.345479472628,39997.79958017926,27397.45410070663,4,4,4,0.05028676986694336,0.011262558530054624,4
74.0958272452344,12674.443449821365,40071.89746638061,12600.347622576131,39997.801639135374,27397.45401655924,4,4,4,0.051297903060913086,0.040653490742276144,5
74.09859583699769,12674.44348157106,40071.897570482666,12600.34488573406,39997.798974645666,27397.454088911607,4,4,4,0.05084729194641113,0.005510769164165041,6
74.10260539092249,12674.443360891697,40071.89805791931,12600.340755500774,39997.795452528386,27397.454697027613,4,4,4,0.051816701889038086,0.0389577597256215,7
74.09624902889819,12674.443434443154,40071.897697851484,12600.347185414255,39997.80144882259,27397.45426340833,4,4,4,0.049128055572509766,0.06356752881393592,8
74.08960599506105,12674.443502157112,40071.897727252,12600.35389616205,39997.80812125694,27397.454225094887,4,4,4,0.04815316200256348,0.08491456553182793,9
74.09938799047566,12674.443410253782,40071.89764329992,12600.344022263305,39997.79825530944,27397.454233046137,4,4,4,0.049497365951538086,0.021877557875021603,10
74.0877324879553,12674.443226816638,40071.89747425869,12600.355494328684,39997.80974177073,27397.45424744205,4,4,4,0.04811525344848633,0.08457131787523002,11
74.09761814444954,12674.443569273579,40071.897537174176,12600.34595112913,39997.79991902973,27397.453967900597,4,4,4,0.04799985885620117,0.009755693618692286,12
74.09931602747223,12674.443470576283,40071.897579741446,12600.344154548811,39997.79826371397,27397.454109165163,4,4,4,0.0492243766784668,0.007129241881300774,13
74.09898289246887,12674.44346031825,40071.89760655748,12600.344477425782,39997.79862366501,27397.45414623923,4,4,4,0.05382037162780762,0.008517805447759775,14
74.09861848731903,12674.44352292002,40071.89759392594,12600.344904432703,39997.79897543862,27397.45407100592,4,4,4,0.05413651466369629,0.0050921770731094836,15
74.09579351703903,12674.443523942206,40071.897469291085,12600.347730425166,39997.80167577405,27397.45394534888,4,4,4,0.05353975296020508,0.03365836626357917,16
74.12176661648871,12674.443451104615,40071.89864656815,12600.321684488126,39997.77687995166,27397.45519546354,4,4,4,0.04879474639892578,0.0935952109932986,17
74.09878382536024,12674.443574694176,40071.89755077912,12600.344790868816,39997.79876695376,27397.453976084944,4,4,4,0.04778313636779785,0.014663042764622292,18
74.09956529312893,12674.443042917863,40071.89774215789,12600.343477624734,39997.79817686476,27397.45469924003,4,4,4,0.04825782775878906,0.0734626269013966,19
74.10037939653151,12674.44352078122,40071.89760075215,12600.343141384688,39997.79722135562,27397.45407997093,4,4,4,0.05137300491333008,0.03219939066812366,20
74.10674730008589,12674.443564936308,40071.89806960141,12600.336817636222,39997.791322301324,27397.454504665104,4,4,4,0.05032658576965332,0.08966842257982267,21
74.09814741050066,12674.443556677617,40071.89766730575,12600.345409267116,39997.79951989525,27397.454110628132,4,4,4,0.049146175384521484,0.021538248446415376,22
74.10145580550432,12674.443459477521,40071.89768340308,12600.342003672016,39997.79622759757,27397.454223925553,4,4,4,0.05065608024597168,0.017008378480043995,23
74.09829319514967,12674.443095326966,40071.89779197962,12600.344802131816,39997.79949878447,27397.454696652658,4,4,4,0.047901153564453125,0.09415118751884272,24
74.10177550230105,12674.443736227004,40071.89827294503,12600.341960724703,39997.79649744273,27397.454536718025,4,4,4,0.05512404441833496,0.07257440934190985,25
74.09846856093868,12674.443512253047,40071.89757278299,12600.345043692108,39997.79910422205,27397.45406052994,4,4,4,0.05057382583618164,0.007979866729546271,26
74.09243179547394,12674.443425148747,40071.897853332994,12600.350993353273,39997.80542153752,27397.454428184246,4,4,4,0.04988861083984375,0.09986455198680566,27
